deltaT,dairy_network,no_of_reachable_nodes
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_108.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_108.network,7
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_108.network,23
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_108.network,1216
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_108.network,1552
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_108.network,2044
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_109.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_109.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_109.network,10
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_109.network,1773
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_109.network,2127
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_109.network,2389
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_110.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_110.network,15
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_110.network,15
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_110.network,2118
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_110.network,2834
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_110.network,3127
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_111.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_111.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_111.network,1732
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_111.network,2359
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_111.network,2849
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_111.network,3204
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_112.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_112.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_112.network,1378
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_112.network,1639
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_112.network,1933
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_112.network,2195
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_113.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_113.network,13
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_113.network,1063
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_113.network,1437
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_113.network,1709
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_113.network,1990
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_114.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_114.network,12
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_114.network,907
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_114.network,2120
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_114.network,2577
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_114.network,2926
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_115.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_115.network,288
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_115.network,1965
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_115.network,3029
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_115.network,3679
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_115.network,4100
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_116.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_116.network,1
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_116.network,4
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_116.network,1140
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_116.network,1473
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_116.network,1665
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_117.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_117.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_117.network,11
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_117.network,2037
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_117.network,2353
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_117.network,2552
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_118.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_118.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_118.network,9
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_118.network,707
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_118.network,1069
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_118.network,1177
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_119.network,7
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_119.network,10
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_119.network,977
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_119.network,1174
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_119.network,1644
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_119.network,2083
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_120.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_120.network,982
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_120.network,1279
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_120.network,2252
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_120.network,2593
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_120.network,2984
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_121.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_121.network,88
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_121.network,1368
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_121.network,1972
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_121.network,2426
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_121.network,2822
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_122.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_122.network,9
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_122.network,14
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_122.network,19
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_122.network,840
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_122.network,966
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_123.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_123.network,83
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_123.network,1524
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_123.network,2173
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_123.network,2664
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_123.network,3058
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_124.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_124.network,9
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_124.network,395
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_124.network,1289
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_124.network,1650
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_124.network,2022
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_125.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_125.network,1
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_125.network,6
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_125.network,6
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_125.network,7
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_125.network,1416
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_126.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_126.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_126.network,2
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_126.network,13
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_126.network,13
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_126.network,20
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_127.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_127.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_127.network,10
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_127.network,1886
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_127.network,2326
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_127.network,2644
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_128.network,17
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_128.network,114
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_128.network,212
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_128.network,1908
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_128.network,2457
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_128.network,2775
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_129.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_129.network,41
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_129.network,546
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_129.network,2164
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_129.network,2814
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_129.network,3234
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_130.network,9
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_130.network,893
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_130.network,1353
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_130.network,1913
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_130.network,2507
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_130.network,2809
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_131.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_131.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_131.network,48
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_131.network,763
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_131.network,1429
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_131.network,1874
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_132.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_132.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_132.network,22
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_132.network,1686
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_132.network,2122
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_132.network,2548
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_133.network,8
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_133.network,12
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_133.network,1253
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_133.network,1760
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_133.network,2228
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_133.network,2503
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_134.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_134.network,7
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_134.network,21
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_134.network,1625
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_134.network,1890
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_134.network,2194
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_135.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_135.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_135.network,1586
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_135.network,2020
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_135.network,2452
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_135.network,2684
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_136.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_136.network,882
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_136.network,1396
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_136.network,1853
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_136.network,2292
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_136.network,2726
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_137.network,7
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_137.network,233
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_137.network,1264
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_137.network,2069
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_137.network,2576
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_137.network,2959
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_138.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_138.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_138.network,926
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_138.network,2287
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_138.network,2802
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_138.network,3177
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_139.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_139.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_139.network,9
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_139.network,1684
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_139.network,2157
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_139.network,2409
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_140.network,8
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_140.network,610
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_140.network,1343
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_140.network,1998
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_140.network,2422
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_140.network,2768
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_141.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_141.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_141.network,14
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_141.network,1362
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_141.network,1931
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_141.network,2230
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_142.network,6
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_142.network,384
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_142.network,1756
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_142.network,2352
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_142.network,2901
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_142.network,3286
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_143.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_143.network,1
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_143.network,2
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_143.network,2
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_143.network,33
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_143.network,45
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_144.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_144.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_144.network,222
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_144.network,1123
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_144.network,1684
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_144.network,2337
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_145.network,6
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_145.network,17
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_145.network,1028
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_145.network,1714
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_145.network,2315
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_145.network,2696
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_146.network,18
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_146.network,48
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_146.network,1350
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_146.network,1640
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_146.network,2122
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_146.network,2481
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_147.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_147.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_147.network,10
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_147.network,1633
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_147.network,2041
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_147.network,2218
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_148.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_148.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_148.network,19
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_148.network,1055
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_148.network,1229
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_148.network,2395
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_149.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_149.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_149.network,916
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_149.network,1646
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_149.network,2055
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_149.network,2397
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_150.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_150.network,10
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_150.network,1191
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_150.network,2046
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_150.network,2417
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_150.network,2653
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_151.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_151.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_151.network,10
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_151.network,1869
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_151.network,2183
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_151.network,2373
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_152.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_152.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_152.network,4
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_152.network,16
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_152.network,566
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_152.network,1754
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_153.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_153.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_153.network,119
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_153.network,830
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_153.network,1242
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_153.network,1525
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_154.network,7
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_154.network,31
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_154.network,1590
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_154.network,2103
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_154.network,2572
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_154.network,2930
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_155.network,8
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_155.network,629
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_155.network,1013
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_155.network,1400
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_155.network,1920
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_155.network,2302
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_156.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_156.network,1152
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_156.network,1617
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_156.network,2317
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_156.network,2755
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_156.network,3540
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_157.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_157.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_157.network,8
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_157.network,1536
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_157.network,2138
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_157.network,2315
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_158.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_158.network,1516
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_158.network,2021
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_158.network,2641
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_158.network,3135
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_158.network,3533
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_159.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_159.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_159.network,23
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_159.network,1488
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_159.network,1620
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_159.network,1728
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_160.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_160.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_160.network,3
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_160.network,3
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_160.network,260
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_160.network,1932
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_161.network,11
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_161.network,32
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_161.network,1973
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_161.network,2514
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_161.network,3087
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_161.network,3518
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_162.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_162.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_162.network,14
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_162.network,1421
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_162.network,1954
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_162.network,2079
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_163.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_163.network,321
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_163.network,758
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_163.network,1289
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_163.network,1781
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_163.network,2259
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_164.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_164.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_164.network,24
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_164.network,2275
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_164.network,2699
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_164.network,3071
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_165.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_165.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_165.network,6
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_165.network,1735
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_165.network,1979
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_165.network,2134
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_166.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_166.network,1170
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_166.network,1865
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_166.network,2680
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_166.network,3269
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_166.network,3663
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_167.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_167.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_167.network,5
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_167.network,1726
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_167.network,2048
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_167.network,2212
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_168.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_168.network,12
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_168.network,28
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_168.network,2315
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_168.network,2659
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_168.network,2881
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_169.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_169.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_169.network,1324
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_169.network,1795
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_169.network,2210
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_169.network,2519
