deltaT,dairy_network,no_of_reachable_nodes
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_40.network,2280
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_41.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_41.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_41.network,1165
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_41.network,1668
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_41.network,1965
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_41.network,2239
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_42.network,23
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_42.network,105
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_42.network,1295
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_42.network,1779
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_42.network,2184
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_42.network,2524
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_43.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_43.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_43.network,9
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_43.network,534
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_43.network,2125
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_43.network,2362
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_44.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_44.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_44.network,3
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_44.network,28
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_44.network,537
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_44.network,917
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_45.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_45.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_45.network,1699
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_45.network,2135
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_45.network,2425
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_45.network,2641
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_46.network,4
