deltaT,dairy_network,no_of_reachable_nodes
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_491.network,7
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_491.network,44
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_491.network,90
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_491.network,1443
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_491.network,1619
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_491.network,1876
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_492.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_492.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_492.network,364
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_492.network,1081
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_492.network,1473
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_492.network,1715
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_493.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_493.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_493.network,1501
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_493.network,2300
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_493.network,2733
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_493.network,3161
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_494.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_494.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_494.network,33
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_494.network,1459
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_494.network,2067
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_494.network,2422
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_495.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_495.network,7
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_495.network,1305
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_495.network,2220
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_495.network,2730
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_495.network,3115
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_496.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_496.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_496.network,3
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_496.network,1904
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_496.network,2932
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_496.network,3288
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_497.network,7
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_497.network,17
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_497.network,44
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_497.network,1750
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_497.network,2179
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_497.network,2509
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_498.network,7
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_498.network,488
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_498.network,1101
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_498.network,1688
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_498.network,2246
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_498.network,2611
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_499.network,6
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_499.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_499.network,941
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_499.network,1549
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_499.network,2107
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_499.network,2412
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_500.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_500.network,872
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_500.network,1497
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_500.network,1931
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_500.network,2458
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_500.network,2837
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_501.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_501.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_501.network,4
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_501.network,1718
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_501.network,2579
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_501.network,2812
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_502.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_502.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_502.network,6
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_502.network,1021
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_502.network,1144
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_502.network,1739
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_503.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_503.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_503.network,1463
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_503.network,1824
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_503.network,2163
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_503.network,2543
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_504.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_504.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_504.network,5
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_504.network,1984
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_504.network,2447
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_504.network,2751
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_505.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_505.network,891
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_505.network,1225
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_505.network,1565
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_505.network,1923
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_505.network,2157
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_506.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_506.network,10
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_506.network,720
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_506.network,1512
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_506.network,2076
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_506.network,2505
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_507.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_507.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_507.network,2142
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_507.network,2644
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_507.network,2993
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_507.network,3261
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_508.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_508.network,1
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_508.network,1
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_508.network,160
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_508.network,173
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_508.network,186
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_509.network,12
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_509.network,21
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_509.network,1742
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_509.network,2147
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_509.network,2665
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_509.network,3058
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_510.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_510.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_510.network,24
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_510.network,1215
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_510.network,1535
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_510.network,1751
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_511.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_511.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_511.network,1515
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_511.network,1771
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_511.network,1976
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_511.network,2104
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_512.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_512.network,104
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_512.network,988
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_512.network,1549
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_512.network,2055
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_512.network,2328
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_513.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_513.network,1
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_513.network,2
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_513.network,1586
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_513.network,2295
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_513.network,2816
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_514.network,8
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_514.network,30
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_514.network,1454
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_514.network,2460
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_514.network,2964
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_514.network,3280
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_515.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_515.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_515.network,2
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_515.network,3
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_515.network,3
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_515.network,17
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_516.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_516.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_516.network,2
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_516.network,9
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_516.network,17
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_516.network,494
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_517.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_517.network,14
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_517.network,787
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_517.network,2489
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_517.network,2904
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_517.network,3194
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_518.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_518.network,12
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_518.network,50
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_518.network,2104
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_518.network,2401
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_518.network,2559
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_519.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_519.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_519.network,869
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_519.network,1356
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_519.network,1685
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_519.network,1836
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_520.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_520.network,140
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_520.network,1136
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_520.network,1683
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_520.network,2355
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_520.network,2823
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_521.network,60
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_521.network,183
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_521.network,674
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_521.network,1645
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_521.network,2199
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_521.network,3016
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_522.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_522.network,108
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_522.network,1619
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_522.network,2234
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_522.network,2679
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_522.network,3026
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_523.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_523.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_523.network,5
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_523.network,64
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_523.network,77
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_523.network,82
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_524.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_524.network,9
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_524.network,1437
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_524.network,1667
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_524.network,1869
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_524.network,2009
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_525.network,15
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_525.network,841
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_525.network,1324
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_525.network,1905
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_525.network,2469
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_525.network,2966
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_526.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_526.network,19
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_526.network,1431
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_526.network,1861
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_526.network,2435
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_526.network,2701
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_527.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_527.network,22
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_527.network,300
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_527.network,921
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_527.network,1262
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_527.network,1688
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_528.network,17
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_528.network,32
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_528.network,1340
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_528.network,1976
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_528.network,2693
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_528.network,3061
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_529.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_529.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_529.network,990
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_529.network,1757
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_529.network,2490
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_529.network,2926
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_530.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_530.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_530.network,10
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_530.network,74
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_530.network,1735
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_530.network,2185
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_531.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_531.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_531.network,5
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_531.network,1339
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_531.network,1629
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_531.network,1694
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_532.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_532.network,669
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_532.network,1372
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_532.network,1907
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_532.network,2401
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_532.network,2820
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_533.network,6
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_533.network,10
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_533.network,1034
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_533.network,2064
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_533.network,2500
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_533.network,2976
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_534.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_534.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_534.network,4
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_534.network,6
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_534.network,1847
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_534.network,2116
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_535.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_535.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_535.network,3
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_535.network,1021
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_535.network,1402
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_535.network,1664
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_536.network,54
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_536.network,162
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_536.network,1027
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_536.network,1786
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_536.network,2320
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_536.network,2752
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_537.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_537.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_537.network,6
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_537.network,10
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_537.network,28
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_537.network,357
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_538.network,7
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_538.network,26
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_538.network,1949
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_538.network,2394
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_538.network,2948
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_538.network,3391
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_539.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_539.network,531
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_539.network,1046
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_539.network,1724
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_539.network,2225
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_539.network,2597
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_540.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_540.network,7
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_540.network,46
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_540.network,1341
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_540.network,2459
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_540.network,2774
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_541.network,9
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_541.network,10
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_541.network,1537
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_541.network,1936
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_541.network,2287
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_541.network,2647
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_542.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_542.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_542.network,4
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_542.network,384
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_542.network,825
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_542.network,1274
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_543.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_543.network,18
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_543.network,1373
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_543.network,2018
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_543.network,2360
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_543.network,2706
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_544.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_544.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_544.network,3
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_544.network,659
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_544.network,1342
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_544.network,1385
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_545.network,14
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_545.network,65
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_545.network,1453
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_545.network,2232
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_545.network,2890
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_545.network,3321
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_546.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_546.network,1263
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_546.network,2102
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_546.network,2730
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_546.network,3359
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_546.network,3721
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_547.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_547.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_547.network,54
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_547.network,465
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_547.network,782
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_547.network,1091
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_548.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_548.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_548.network,8
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_548.network,8
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_548.network,850
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_548.network,1406
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_549.network,7
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_549.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_549.network,13
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_549.network,2254
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_549.network,2752
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_549.network,3026
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_550.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_550.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_550.network,728
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_550.network,1161
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_550.network,1481
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_550.network,1710
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_551.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_551.network,18
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_551.network,44
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_551.network,1585
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_551.network,1912
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_551.network,2299
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_552.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_552.network,13
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_552.network,24
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_552.network,1552
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_552.network,2040
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_552.network,2326
