state,month,indeg,outdeg,pagerank
PA,March,112,102,0.025388070848263368
SD,March,90,42,0.016512530916212163
VT,March,50,11,0.05239712846449945
OH,March,117,69,0.03931962714785372
IN,March,95,67,0.029891930031187352
OK,March,36,54,0.009146899225285084
AZ,March,58,22,0.028858669340777663
IL,March,55,53,0.011618067003281492
KY,March,52,47,0.016189795909360417
MD,March,32,51,0.009457324748030387
NE,March,40,41,0.008733932746931131
GA,March,29,43,0.010939044628969158
UT,March,15,28,0.005380218898747557
MO,March,36,42,0.008819540778051518
OR,March,18,14,0.009103870188954552
TN,March,15,39,0.006636944957751129
NV,March,8,0,0.003967543273364427
ND,March,6,16,0.004970501625456801
WY,March,17,2,0.012832338376414922
VA,March,13,23,0.006049508858512442
MA,March,5,3,0.005549297462527207
AR,March,0,9,0.0036404261476334797
MT,March,2,8,0.004197640139841661
NC,March,2,12,0.00424127335708443
SC,March,2,6,0.004493205460940975
NJ,March,5,2,0.004389471379245755
WV,March,0,4,0.0036404261476334797
CT,March,2,1,0.003808707941039915
NH,March,1,1,0.0037245670443366973
ME,March,1,0,0.0037245670443366973
CA,April,2134,2151,0.09416590380475907
IA,April,994,1219,0.09181485642967861
MN,April,693,444,0.10664721789065017
NY,April,361,733,0.029275876775778635
TX,April,290,315,0.04233504099598636
WI,April,352,332,0.05748148617286323
PA,April,255,119,0.054031829760946296
ID,April,151,153,0.026696145749962437
WA,April,122,113,0.026490407388020474
KS,April,115,158,0.014628929858997324
MI,April,166,91,0.05758306406887751
FL,April,95,79,0.026180556780548203
IN,April,172,103,0.05918444446745663
OH,April,169,90,0.0552104272527024
VT,April,86,58,0.01908766860474222
NM,April,64,23,0.01629226122154361
CO,April,66,74,0.016755059299485512
SD,April,63,59,0.010777334723868093
AZ,April,67,39,0.02123759469679011
IL,April,88,27,0.020800825392499098
OK,April,12,64,0.004602466793128108
MO,April,67,49,0.01449516922222972
NE,April,41,27,0.012218760496571454
GA,April,37,42,0.011275439016135107
KY,April,51,31,0.017102501580893395
MA,April,19,0,0.005705161936089626
MD,April,33,24,0.011045146672457607
CT,April,18,11,0.006224469339274158
UT,April,25,35,0.007071012014245914
ND,April,9,28,0.005112166533375022
VA,April,16,42,0.006099217457232367
OR,April,12,23,0.0057757880769998505
TN,April,11,54,0.005038839332683972
NC,April,9,15,0.00548615312352425
AR,April,1,14,0.003911968002605935
SC,April,2,12,0.0042001685384771125
MT,April,4,10,0.005131244237281777
NV,April,3,4,0.003786084183499478
WV,April,0,9,0.003674455542068829
NJ,April,2,4,0.0037423558075077323
WY,April,3,1,0.004207689407986208
NH,April,1,1,0.003708405674788281
ME,April,1,0,0.003708405674788281
CA,May,2212,2225,0.0959935386138507
IA,May,1028,1260,0.09215608803888974
MN,May,720,459,0.1085227470045773
NY,May,375,759,0.02967063478494123
TX,May,301,325,0.04281705701736039
WI,May,364,346,0.057343289302827616
PA,May,266,127,0.052816573094914936
ID,May,156,158,0.02560450465378966
WA,May,125,115,0.026163567299807067
KS,May,120,163,0.015102972072436223
MI,May,171,93,0.0562530026648795
FL,May,97,81,0.026110473434713462
IN,May,178,107,0.05907247511772941
OH,May,179,95,0.055471956535226394
VT,May,87,60,0.018202273974051324
CO,May,67,76,0.016643921544577764
NM,May,65,23,0.016268383374286943
SD,May,66,60,0.010946649609467339
AZ,May,70,40,0.02178772659151058
OK,May,14,67,0.00478995426910638
IL,May,90,29,0.020630771504649474
MO,May,71,51,0.014648980955675423
NE,May,43,31,0.011422461406112938
GA,May,38,43,0.011432612248911277
KY,May,52,34,0.016998445036910767
MA,May,20,0,0.005998392199889483
MD,May,34,25,0.010561711366393197
CT,May,18,11,0.006149237617155357
UT,May,25,38,0.0067805683669657155
ND,May,11,30,0.005252148134917284
VA,May,17,44,0.006385231113671877
OR,May,12,25,0.005617676904165759
TN,May,11,58,0.004957018871121833
SC,May,3,13,0.0042151945658918675
NC,May,9,15,0.0054548600894183
AR,May,1,14,0.003918248353188687
NV,May,3,5,0.0037903632449945877
MT,May,4,11,0.004970318662857031
WV,May,1,9,0.003713583771622092
NJ,May,2,4,0.003746812980043804
WY,May,3,1,0.004190406063255107
NH,May,1,1,0.003713583771622092
ME,May,1,0,0.003713583771622092
CA,June,2136,2152,0.09447346703403173
IA,June,994,1216,0.09199658395758753
NY,June,362,735,0.029062804164192595
MN,June,692,441,0.1084079765516616
TX,June,288,314,0.04089667771866458
WI,June,352,334,0.05734376331355369
PA,June,256,121,0.053979898054261885
ID,June,151,152,0.026889103529140677
WA,June,121,111,0.026968122016598775
KS,June,114,159,0.014374976231580438
